1	基于Python-SACS循环优化方法的海上变电站导管架结构轻量化研究	马煜祥;何小花;刘兵;蔡东		2026-02-25	海洋技术学报	期刊	海上变电站;轻量化;敏感性分析;Python优化;安全校核;	海上变电站作为整个海上风电场的电力传输与信息通讯枢纽，其安全运行具有至关重要的意义。在当前海上变电站的设计过程中，为保障结构在复杂海洋环境中的安全性，往往采用较大的安全余量，但这会导致工程建造成本增加，显著降低项目的经济效益。因此，本文针对某海上变电站，以极端荷载条件下的在位分析工况为研究基础，开展了导管架结构轻量化设计研究。首先，基于结构安全性与轻量化效果的双重原则，利用SACS软件对变电站导管架基础的所有杆件组进行减重效果敏感性分析，遴选出对结构重量影响较大且对安全性影响较小的杆件组，并提出三种轻量化设计方案。其次，提出了海上变电站结构的Python-SACS循环优化方法，基于Python程序语言调用SACS软件进行循环迭代计算，通过对不同轻量化设计方案进行优化以获得最佳方案。最后，针对轻量化设计方案，对在位分析、吊装分析、坐底稳定性分析、靠船碰撞分析及疲劳分析5种工况进行验证，论证了海上变电站导管架结构优化设计方案具有良好的安全性和可行性。	https://kns.cnki.net/kcms2/article/abstract?v=oGHOruzuSDMHhoFM-uobBqPo-yFssrj6fbER8m-H0vEZ0Y36vDMzpS9gsNJUmxuq7cUwddAIlqQXjpNjIw_vo4lq1AA4I-pgOGeaURWmhY4-cQioXuXgFPIitvJPVACbaWz7UBGH0NW_UHcKJ4XO7l_sN1DH66c6vat9DqYWDNqKWcVfi5KVSw==&uniplatform=NZKPT&language=CHS
2	数字经济背景下Python“双环三链”教学模式探索	刘文敏;马祥泰		2026-02-20	计算机时代	期刊	Python程序设计;混合式教学;双环三链;数字经济;平台资源;	针对传统Python程序设计教学中课时有限、内容局限、评价片面等难题，契合《教育信息化2.0行动计划》对数字经济人才培养的要求，本研究以宿迁学院经济管理学院为实践样本，构建适用于经济类专业的Python“双环三链”教学模式。通过整合平台资源，设计过程建构与优化评价体系。实践表明，该模式有助于推动知识、能力与素养三维目标的有效达成，提高教学效能，可为高校非计算机专业Python课程及同类计算机课程的混合式教学改革提供实践参考。	https://kns.cnki.net/kcms2/article/abstract?v=oGHOruzuSDMAzNCeEpVND4qI48IMD2gsxarNOKrgcxA9xLRGrSHSnqUONymkdJ2OrHNQ0DTfP-zqseR-eze2RG1vQOAvNbbmzkU1e3C4AcXFt8RkBx-HfAxT-i-2GaWLriNrx9fwE4c5gy35bWtxWGura-MOAicJrDYn9QiliXIspaVsUmyV2Q==&uniplatform=NZKPT&language=CHS
3	Python程序设计课程中课程思政的双向建构路径	黎力超;白峰云;欧阳炳		2026-02-20	计算机时代	期刊	课程思政;Python程序设计;双向映射;隐性育人机制;工程伦理;	针对当前计算机类课程思政存在生硬植入、同质化严重等问题，本文提出一种基于双向映射的Python程序设计课程思政实践路径。该路径以专业知识体系的完整性和隐性育人机制的影响力为基础，通过正向映射与反向映射，实现思政元素的深度融入。结合教师课堂表现、项目选题导向、工程规范实践等五个维度的隐性育人机制，构建涵盖结构化图谱、元认知工具与议题式项目的教学策略体系，旨在推动专业教育与思政教育同频共振，提升学生的工程伦理意识与社会责任感。	https://kns.cnki.net/kcms2/article/abstract?v=oGHOruzuSDMAzNCeEpVND4qI48IMD2gsxarNOKrgcxA9xLRGrSHSnqUONymkdJ2OJE9Kt4E7aEGpH1FGZdZz2MdHGgGjP8DCNCCykhUpgDU7aO5kizRLcxLkneDuofTdNHPSvdcOGfe28n-Z0hbGLFzHoyZzuppXpetItuiuo8qzJq4dNUKNNg==&uniplatform=NZKPT&language=CHS
4	智能网联汽车关键传感器标定整合平台研究	刘波;陈晨;方言		2026-02-15	汽车维护与修理	期刊	关键传感器;标定整合平台;Python;PySide6;	随着智能网联汽车技术的快速发展，关键传感器标定的复杂性显著提升。本文针对传统标定工具分散、操作繁琐问题，通过研究构建了基于Python与PySide6框架开发了关键传感器标定整合平台，可提高关键传感器标定效率及可靠性，同时降低技术门槛。	https://kns.cnki.net/kcms2/article/abstract?v=oGHOruzuSDNiD18kFxM2eZk6MzX83hsOGnC28rvcdkgCOiaFYjT58yCGXRyPD0bf2lGparRGtUj1dT50rS40WM2forC8RleMMBbkyvvOuS0xn4BkYADF-DB0PM9qBCHTzOoIhQ5kxCOT5kSOmKj3yKSLykNB4PmFq3w2_p-p1mTd7tfbK-zuzA==&uniplatform=NZKPT&language=CHS
5	基于任务驱动的混合式教学模式在Python程序设计中的应用研究	王晓燕		2026-02-15	信息系统工程	期刊	任务驱动;混合式教学模式;Python;	为了解决传统教学中学生自主学习能力不强、知识单向传递、理论与实践脱节、重结果而轻过程等问题，本文引入了基于任务驱动的混合式教学模式。该教学模式改变了以教师为中心的传统课堂模式，注重学生的参与及互动。本文首先介绍了相关理论及教学现状，接着以函数为例详细介绍了该模式的教学过程，最后重新设计了考核方式。结果表明，该教学模式有效提高了教学满意度及学生成绩，对于学生实践能力及创新能力的培养也有很大的帮助。	https://kns.cnki.net/kcms2/article/abstract?v=oGHOruzuSDNiD18kFxM2eZk6MzX83hsOGnC28rvcdkhfiHXu7hfcLFEE5aZ-C73jxEsm5RL9jKWZjfIZpkjHqPH1c7qV2U5bNFrgjwY_JQR8uFw_3ji4Zd8vhR1csv-s2yxeiU8Z6onT5tUxwvB-4A176yrrHrql9HTN7dJnd3vd2fVKMYujyw==&uniplatform=NZKPT&language=CHS
6	Python质控小程序在传染病报告信息审核中的应用	谢才文;吴日星;杜春生;张奕然;甘霖		2026-02-15	中国数字医学	期刊	Python;传染病;信息审核;报告质量;	目的：推广应用Python质控小程序审核传染病报告信息,提高审核效率和准确性。方法：根据国家相关规范和指南,制定传染病迟审、迟报和问题卡判定运算规则,设计开发Python质控小程序,对传染病报告卡信息进行自动化审核,比较传统人工审核和Python质控小程序自动审核的工作效率和准确性。结果：细化迟报、迟审以及其他11项中国疾病预防控制信息系统仍无法检错的传染病信息运算规则,开发Python质控小程序,实现传染病报告信息自动审核。以半个月1 626张报告卡为案例,3 s自动生成审核结果和问题卡、特殊病种Excel明细列表。除了疑似问题卡需要结合人工核查外,Python质控小程序审核准确率为100%。以传统人工核查为金标准,Python质控小程序判断传染病报告卡问题的灵敏度为100.00%,特异度为99.94%,阳性预测值为94.12%,阴性预测值为100.00%,准确度为99.94%。人工核查和Python质控小程序自动化审核方法进行Kappa一致性检验,Kappa=0.97,P<0.001,Python小程序质控方法准确性与人工核查差异无统计学意义。结论：Python质控小程序实现...	https://kns.cnki.net/kcms2/article/abstract?v=oGHOruzuSDMrgE8OWonFWxEubbCoSNIzVjVb3xA3DweTow_WPqCNVNjtC7TY7yG5eaP5W3seZ7punWWKtm7mOiQJ8Xo06IcOD9a1W_oLngtaCEoeuQWy3ixP3DKthE9A-GrGAFPnquejxe0D1GKXrBlIVsvJMY1qCAA7cN3rW2EDFZDRYRLuHQ==&uniplatform=NZKPT&language=CHS
7	大数据工具在企业财务分析中的应用研究	肖芸		2026-02-14	中国电子商情	期刊	大数据工具;财务分析;企业管理;应用研究;	财务分析是财务数据呈现的有效手段，可以为政府、债权人等利益相关者，提供决策有用信息。在当前瞬息万变的时代，快速获取财务数据，有助于及时做出有效决策，抢占发展先机。大数据工具的开发，为财务分析工作提供了有力的技术支撑，能够大幅提升分析效率，提高分析成果呈现质量。本文阐述不同大数据工具在财务分析各阶段的运用方法，为企业快速挖掘财务数据价值提供思路。	https://kns.cnki.net/kcms2/article/abstract?v=oGHOruzuSDMrgE8OWonFWxEubbCoSNIzVjVb3xA3DweWevh1ak-V-3KiQL6Sg7hIYooDE7VBkaBgn9PeouUyVf5ST_MEaDW1ksu-6kF09o7q1ox5GOOrOJQ7EhLC0jZ9qyKa3Lg21NCg-tlUolySkGLP_89yYr9CgpSb2RxkcrpPMZW8oH0iKA==&uniplatform=NZKPT&language=CHS
8	基于ADAMS Python二次开发的埋头弹自动机发射动力学快速建模	李春华;丁传俊;王婷伟;刘光勇		2026-02-13 07:13	火炮发射与控制学报	期刊	埋头弹自动机;动力学建模;ADAMS;Python;二次开发;	为提升埋头弹自动机发射动力学建模效率，基于Python语言开展了动力学建模方法二次开发研究。通过封装建模函数实现建模过程的参数化与函数化，并通过嵌入判断与提示语句，提升了建模过程的交互性与模型的准确性。基于以上建模方法，对自动机开展了三连发通畅性分析，并分析其在复杂作战环境下承受不同过载条件时的运动特性。结果表明，与传统宏命令建模相比，本文所提二次开发代码行数减少73.1%，建模时间缩短了81.37 s；同时仿真结果较为准确，可为同类产品的优化设计和使用维护提供参考。	https://kns.cnki.net/kcms2/article/abstract?v=oGHOruzuSDPo_eRYA4spG3cruXgVs7_ZJj41VzS1Cl1HBHsiP5zKAOPUoHqtQpNAeUW-5jzSNUIvbryGNkT4PMgXPRjYgXLvCVWAoPE6zrps9CcgGgoCtBm7G3g4hxMBvmSNWiEej34fV-7Wby5d-iyFk07TjCxjrJg5yeIa-Uvd81eYkSuEjg==&uniplatform=NZKPT&language=CHS
9	智能家庭AI系统设计	曹梦茹;付彤;汪锦焕;姜绍君;钱进会		2026-02-13	物联网技术	期刊	智能家庭管家系统;AI;机器视觉;LLM;Python;云平台;	随着人工智能的飞速发展，人们对智能家庭提出了更高要求。文中设计了一款智能家庭AI系统，该系统以管理子系统为核心，辅以机器视觉、大语言模型和传感器技术，依托SQLite数据库和边缘计算技术，主要采用Python编程语言开发。系统通过集成MQ-2传感器、MQ-15传感器、MQ-4传感器、C270i摄像头等模块，实现危险气体监测、家庭环境实时监控及语音交互等功能。以ESP8266-01S为主控进行数据传输，向OneNET云平台实时传输数据；同时用户可以通过移动端或云端对家庭设备进行远程管理与控制，实现舒适、安全和便捷的智能家庭服务。	https://kns.cnki.net/kcms2/article/abstract?v=oGHOruzuSDPo_eRYA4spG3cruXgVs7_ZEv0gRAwrq5oiMdy6b0MJmOlcGMohYW7tv9uLF1LLLF4M-6JPz93bJBBXS29mtG4llMnB9C0Pp19d0jc1S0qOYlRf_e-KqmUHDSn5qxkjct-eq8vvS8Whxu_nGKpCjEiBpKAJyUkKmiBlt-Vdh6KIuw==&uniplatform=NZKPT&language=CHS
10	基于Python的大连城市脉搏可视化系统	马语霏;庞雅晴;张钰琳;肖大薇		2026-02-13	物联网技术	期刊	智慧城市;城市脉搏;数据可视化;ECharts;高性能数据处理;交互式地图;	随着城市管理面临日益复杂的挑战，如何高效地整合和分析城市运行数据，成为提升城市治理能力的关键。文中设计了一套基于Web技术的大连市城市脉搏可视化系统，旨在直观展示大连市的实时动态与历史变迁。其核心功能包括环境质量分析与经济活动洞察，其中环境质量分析通过监测空气质量等指标帮助市民了解环境变化及其趋势；经济活动洞察能够整合就业与房地产数据，为投资者和政策制定者提供决策依据。该系统的技术亮点包括高性能的数据处理和交互式地图，有助于充分展示大连市智慧、开放、充满活力的现代城市形象。	https://kns.cnki.net/kcms2/article/abstract?v=oGHOruzuSDONspqaphf7Ew08EiHJlWcSDP22jQKhPlxxoLqx3Lsg2LqBfuBpA5ctF8MZXI18opucr5YbigaoqnLOIYkJjPLyaLjIgD65-SpzyNFH6aYOb_YWPUYT2YvQdFXvphteuiMV0uK26OLqAHMk-YMSEQCPtj7m9hZ9m-6uAeHw_XFVOg==&uniplatform=NZKPT&language=CHS
